file_path,file_name,file_type,source_type,read_as,rows,columns,주요 컬럼명,어떤 추가 변수를 만들 수 있는지,바로 사용 가능 / 전처리 필요 / 사용 불가,이슈 메모
reports/tables/basic_stats_all.csv,basic_stats_all.csv,csv,derived_report,utf-8-sig,16,8,"column, mean, median, std, min, max, Q1, Q3",이전 단계 분석 참고용,사용 불가,reports/tables 산출물로 원천 데이터가 아니므로 feature engineering 원천으로 사용하지 않음
reports/tables/basic_stats_starbucks.csv,basic_stats_starbucks.csv,csv,derived_report,utf-8-sig,16,8,"column, mean, median, std, min, max, Q1, Q3",이전 단계 분석 참고용,사용 불가,reports/tables 산출물로 원천 데이터가 아니므로 feature engineering 원천으로 사용하지 않음
reports/tables/missing_values.csv,missing_values.csv,csv,derived_report,utf-8-sig,21,4,"column, dtype, missing_count, missing_rate_pct",이전 단계 분석 참고용,사용 불가,reports/tables 산출물로 원천 데이터가 아니므로 feature engineering 원천으로 사용하지 않음
reports/tables/missing_values_starbucks.csv,missing_values_starbucks.csv,csv,derived_report,utf-8-sig,21,4,"column, dtype, missing_count, missing_rate_pct",이전 단계 분석 참고용,사용 불가,reports/tables 산출물로 원천 데이터가 아니므로 feature engineering 원천으로 사용하지 않음
reports/tables/starbucks_only_corr_pearson.csv,starbucks_only_corr_pearson.csv,csv,derived_report,utf-8-sig,12,13,"Unnamed: 0, dist_nearest_subway, num_subway_500m, nearest_subway_ridership, subway_ridership_500m, num_competing_cafes_500m, num_restaurants_500m, num_retail_500m, num_convenience_500m, avg_income, num_offices, living_population, land_price",이전 단계 분석 참고용,사용 불가,reports/tables 산출물로 원천 데이터가 아니므로 feature engineering 원천으로 사용하지 않음
reports/tables/starbucks_only_corr_spearman.csv,starbucks_only_corr_spearman.csv,csv,derived_report,utf-8-sig,12,13,"Unnamed: 0, dist_nearest_subway, num_subway_500m, nearest_subway_ridership, subway_ridership_500m, num_competing_cafes_500m, num_restaurants_500m, num_retail_500m, num_convenience_500m, avg_income, num_offices, living_population, land_price",이전 단계 분석 참고용,사용 불가,reports/tables 산출물로 원천 데이터가 아니므로 feature engineering 원천으로 사용하지 않음
reports/tables/starbucks_only_feature_recommendation.csv,starbucks_only_feature_recommendation.csv,csv,derived_report,utf-8-sig,12,5,"feature, group, recommendation, rationale, transform_note",이전 단계 분석 참고용,사용 불가,reports/tables 산출물로 원천 데이터가 아니므로 feature engineering 원천으로 사용하지 않음
reports/tables/starbucks_only_feature_summary.csv,starbucks_only_feature_summary.csv,csv,derived_report,utf-8-sig,12,16,"feature, group, count, missing_count, missing_rate, mean, median, std, min, Q1, Q3, max, IQR, zero_count, ... (+2)",이전 단계 분석 참고용,사용 불가,reports/tables 산출물로 원천 데이터가 아니므로 feature engineering 원천으로 사용하지 않음
reports/tables/starbucks_only_outliers_iqr.csv,starbucks_only_outliers_iqr.csv,csv,derived_report,utf-8-sig,511,10,"feature, lower_bound, upper_bound, outlier_count, outlier_rate, outlier_direction, 상호명, 시군구명, 도로명주소, value",이전 단계 분석 참고용,사용 불가,reports/tables 산출물로 원천 데이터가 아니므로 feature engineering 원천으로 사용하지 않음
reports/tables/starbucks_only_top_bottom_by_feature.csv,starbucks_only_top_bottom_by_feature.csv,csv,derived_report,utf-8-sig,240,7,"feature, rank_type, rank, 상호명, 시군구명, 도로명주소, value",이전 단계 분석 참고용,사용 불가,reports/tables 산출물로 원천 데이터가 아니므로 feature engineering 원천으로 사용하지 않음
seoul_cafe_master.csv,seoul_cafe_master.csv,csv,project_data,utf-8-sig,22305,21,"상호명, 브랜드, is_starbucks, 위도, 경도, 시군구명, 행정동코드, 행정동명, 도로명주소, dist_nearest_subway, num_subway_500m, nearest_subway_ridership, subway_ridership_500m, num_competing_cafes_500m, ... (+7)",cafe_count_300m; cafe_count_500m; cafe_count_1000m; premium_cafe_count_500m; low_price_cafe_count_500m; dist_nearest_starbucks,전처리 필요,좌표 기반 반경 카페 수와 최근접 스타벅스는 생성 가능. premium/low price 카페는 브랜드 분류 규칙 정의와 자기 매장 제외 여부 결정 필요
subway_avg_passengers.csv,subway_avg_passengers.csv,csv,project_data,utf-8-sig,34224,5,"호선명, 지하철역, 시간대, 구분, 인원수",시간대별 승하차 변수 보조,전처리 필요,long format 시간대/승하차 인원은 있으나 좌표가 없어 서울시_역사마스터_정보 (1).csv와 역명/호선 key 병합 필요
subway_peak_ratios.csv,subway_peak_ratios.csv,csv,project_data,utf-8-sig,713,9,"호선명, 지하철역, Morning Peak, Lunch Peak, Afternoon/Evening, Total Daily, Morning_Peak_Ratio, Lunch_Peak_Ratio, Afternoon_Peak_Ratio",subway_morning_peak_*; subway_lunch_peak_*; subway_evening_peak_*,전처리 필요,역명별 peak 집계는 있으나 좌표가 없어 서울시_역사마스터_정보 (1).csv와 역명/호선 key 병합 필요
subway_time_group_analysis.csv,subway_time_group_analysis.csv,csv,project_data,utf-8-sig,713,6,"호선명, 지하철역, Morning Peak, Lunch Peak, Afternoon/Evening, Total Daily",subway_morning_peak_*; subway_lunch_peak_*; subway_evening_peak_*,전처리 필요,역명별 peak 집계는 있으나 좌표가 없어 서울시_역사마스터_정보 (1).csv와 역명/호선 key 병합 필요
서울_스타벅스 (1).csv,서울_스타벅스 (1).csv,csv,project_data,utf-8-sig,681,7,"매장명, 위도, 경도, 시도, 구, 도로명주소, 전화번호",dist_nearest_starbucks,바로 사용 가능,"스타벅스 매장명, 위도, 경도, 주소가 있어 자기 매장 제외 후 최근접 스타벅스 거리 계산 가능"
서울시_버스정류소_위치정보.csv,서울시_버스정류소_위치정보.csv,csv,project_data,euc-kr,11237,6,"노드 ID, 정류소번호, 정류소명, X좌표, Y좌표, 정류소 타입",dist_nearest_bus_stop; num_bus_stops_100m; num_bus_stops_300m; num_bus_stops_500m,바로 사용 가능,"정류소명, X좌표(경도), Y좌표(위도)는 있음. 노선 ID/노선명 컬럼은 없어 num_bus_routes_300m는 생성 불가"
서울시_역사마스터_정보 (1).csv,서울시_역사마스터_정보 (1).csv,csv,project_data,euc-kr,783,5,"역사_ID, 역사명, 호선, 위도, 경도",subway_morning_peak_500m; subway_lunch_peak_500m; subway_evening_peak_500m; subway_morning_peak_1000m; subway_lunch_peak_1000m; subway_evening_peak_1000m,전처리 필요,"EUC-KR에서 역사_ID, 역사명, 호선, 위도, 경도 정상 확인. 시간대별 승하차 데이터와 역명/호선 정규화 후 병합 가능"
서울시_지하철_호선별_역별_시간대별_승하차_인원_정보.csv,서울시_지하철_호선별_역별_시간대별_승하차_인원_정보.csv,csv,project_data,euc-kr,81111,52,"사용월, 호선명, 지하철역, 04시-05시 승차인원, 04시-05시 하차인원, 05시-06시 승차인원, 05시-06시 하차인원, 06시-07시 승차인원, 06시-07시 하차인원, 07시-08시 승차인원, 07시-08시 하차인원, 08시-09시 승차인원, 08시-09시 하차인원, 09시-10시 승차인원, ... (+38)",subway_morning_peak_500m; subway_lunch_peak_500m; subway_evening_peak_500m; subway_morning_peak_1000m; subway_lunch_peak_1000m; subway_evening_peak_1000m,전처리 필요,"EUC-KR에서 한글 컬럼 정상. 역사마스터의 역사명/호선/좌표와 병합하면 peak 반경 변수 생성 가능. 단, 호선/역명 표기 정규화 필요"
